rank,country,noc,iso2,flag_url,gold,silver,bronze,total,is_eu
1,European Union,EU27,EU,https://flagcdn.com/w40/eu.png,27,29,21,77,True
2,Norway,NOR,NO,https://flagcdn.com/w40/no.png,8,3,7,18,False
3,Italy,ITA,IT,https://flagcdn.com/w40/it.png,6,3,9,18,True
4,United States,USA,US,https://flagcdn.com/w40/us.png,4,7,3,14,False
5,France,FRA,FR,https://flagcdn.com/w40/fr.png,4,5,1,10,True
6,Germany,GER,DE,https://flagcdn.com/w40/de.png,4,3,2,9,True
7,Sweden,SWE,SE,https://flagcdn.com/w40/se.png,4,3,1,8,True
8,Switzerland,SUI,CH,https://flagcdn.com/w40/ch.png,4,1,2,7,False
9,Austria,AUT,AT,https://flagcdn.com/w40/at.png,3,6,3,12,True
10,Netherlands,NED,NL,https://flagcdn.com/w40/nl.png,3,3,1,7,True
11,Japan,JPN,JP,https://flagcdn.com/w40/jp.png,2,2,6,10,False
12,Czech Republic,CZE,CZ,https://flagcdn.com/w40/cz.png,2,2,0,4,True
13,Australia,AUS,AU,https://flagcdn.com/w40/au.png,2,0,0,2,False
14,South Korea,KOR,KR,https://flagcdn.com/w40/kr.png,1,1,2,4,False
15,Slovenia,SLO,SI,https://flagcdn.com/w40/si.png,1,1,0,2,True
16,Canada,CAN,CA,https://flagcdn.com/w40/ca.png,0,3,4,7,False
17,People's Republic of China,CHN,CN,https://flagcdn.com/w40/cn.png,0,2,2,4,False
18,Poland,POL,PL,https://flagcdn.com/w40/pl.png,0,2,0,2,True
19,New Zealand,NZL,NZ,https://flagcdn.com/w40/nz.png,0,1,1,2,False
20,Latvia,LAT,LV,https://flagcdn.com/w40/lv.png,0,1,0,1,True
21,Bulgaria,BUL,BG,https://flagcdn.com/w40/bg.png,0,0,2,2,True
22,Belgium,BEL,BE,https://flagcdn.com/w40/be.png,0,0,1,1,True
22,Finland,FIN,FI,https://flagcdn.com/w40/fi.png,0,0,1,1,True
